Pattern String,Comment,Pattern Category,Where in website?,Deceptive?,Website Page
Limited time offer,Product detail,Urgency,Product Page,No,https://myfave.com/kuala-lumpur/urban-hair-lounge-setiawalk-puchong-artizta-organic-hair-colouring-2-sessions-of-colour-treatment-mask-trim-wash-and-blow-for-1-person-59169
DAYS HRS MINS SECS,Product detail,Urgency,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
Only 9 left!,Product detail,Scarcity,Product Page,No,https://www.zasttra.com/collections/valentines-day-special/products/hk-stock-ulefone-armor-2-triple-proofing-phone-6gb-64gb-ip68-waterproof-dustproof-shockproof-fingerprint-identification-5-0-inch-sharp-android-7-0-mtk-helio-p25-octa-core-64-bit-up-to-2-6ghz-network-4g-nfc-otg-dual-simgold-mph1592j
52 people have added this product to bag in the last 72 hours,Product image,Social Proof,Product Page,No,https://www.tkmaxx.com/home/hobbies+leisure/luggage+travel-accessories/travel-accessories/black-folding-backpack/p/19016368
LIMITED TIME ONLY *on select models,Footer,Urgency,Product Page,No,https://www.nordictrack.com/exercise-bikes/s22i-studio-bike
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://www.shopolis.com/collections/new/products/enchanted-forever-rose-lamp
Only 1 left in online stock,Product detail,Scarcity,Product Page,No,https://us.pandora.net/en/2018-exclusive-holiday-charm-and-ornament-inspired-by-the-radio-city-rockettes/B800998.html?cgid=valentines_day_gift_sets_assortment&src=categorySearch
We have 1 left in stock,Product detail,Scarcity,Product Page,No,https://brilliantbikes.co.uk/brompton-folding-bikes/3258-brompton-p6r-folding-bike-raw-lacquer-2019-model.html
"Nah, I'll pay full price",Popup,Misdirection,Product Page,No,https://www.blenderseyewear.com/products/cinder-bella?utm_source=recently&utm_medium=referral
only 7 pieces left,Product detail,Scarcity,Product Page,No,https://www.fivebelow.com/room/storage-and-organization/3-drawer-mini-organizer-7-5in-x-6in-x-6-5in-86a6dc.html
"Oscar from Cajamarca, Peru purchased",Periodic popup,Social Proof,Product Page,No,https://store.ringtoperfection.com/collections/bracelets/products/ultimate-multifunctional-self-defense-bracelet-necklace
21 people looked at this during the last 24 hours,Popup in lower left corner,Social Proof,Product Page,No,https://www.2ndsworld.com.au/heater-fan-air-conditioner/air-conditioner/mitsubishi-electric-2-5kw-3-2kw-reverse-cycle-inverter-split-system-air-conditioner-1-id-MSZGL25VGDKIT
"Hurry, before it is gone! Limited time remaining!",Shown for all products,Urgency,Product Page,No,https://www.myantitheftbackpack.com/products/usb-charging-anti-theft-backpack
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://www.ikrush.com
No I don't feel lucky,Side wheel pop-up,Misdirection,Product Page,No,https://topcoat.store/collections/web-specials/products/topcoat-f11-pro-prep-kit
2 in stock,Product detail,Scarcity,Product Page,No,https://www.nest.co.uk/product/modernica-bubble-saucer-pendant-lamp
,Sale,Urgency,Product Page,No,https://www.iheartraves.com
"Don't miss out, only 2 left in stock",Product detail,Scarcity,Product Page,No,https://www.adidas.co.uk/sc-premiere-shoes/CG6239.html
"Ida in Tangerang Selatan, Indonesia purchased Iseya VG10 G-Series 33 layer Damascus Japanese Chef's Santoku Knife , 180mm about 1 hour ago",Periodic popup,Social Proof,Product Page,No,https://www.japanny.com/products/sakai-takayuki-vg10-33-layer-damascus-petty-japanese-knife-petty-80mm
Offer ends in 9hrs 55min 29sec!,Below navbar,Urgency,Product Page,No,https://www.mlsstore.com/toronto-fc/mens-toronto-fc-alejandro-pozuelo-adidas-red-2019-primary-authentic-player-jersey/t-14450342+p-2504952010771+z-9-1155157057
3 PEOPLE VIEWING,Product detail,Social Proof,Product Page,No,https://www.bobswatches.com/used-rolex-yacht-master-ii-ref-116680-ceramic-bezel.html
"Only 2 left, order soon",Product detail,Scarcity,Product Page,No,https://www.columbia.com/mens-steens-mountain-full-zip-fleece-2.0-WM3220.html?cgid=sale&dwvar_WM3220_variationColor=437
Score! You've Qualified for a Checkout Bonus,Popup asking to buy more.That's the regular price for the item. It's not a special price because of the items in the cart,Misdirection,Product Page,No,https://www.wisefoodstorage.com/online-specials/wise-flash-deals.html
Hurry !! Only 52 left in stock,Product detail,Scarcity,Product Page,No,https://zookr.in/products/apple-iphone-6-16-gb-grey-refurbished-almost-brand-new-i87s-dual-wireless-earpods-twin-1-year-warranty/0da1817b-8fb6-43b1-bc3f-855d21d73ad5
2 items left,Product detail,Scarcity,Cart Page,No,https://www.levi.in/ribcage_pleated_cropped_jeans/729500002.html
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.rondomusic.com/product9937.html
Only 1 Left,Product detail,Scarcity,Product Page,No,https://staud.clothing/collections/outerwear/products/tunnel-blazer-opal-navy-stripe?variant=18082732834886
Only 1 left,Product detail,Scarcity,Product Page,No,https://thinkempire.com/snowboard-shop/snowboards/rome-reverb-rocker-snowboard-men-wt19-788912.html
,Shipping,Urgency,Product Page,No,https://www.lighting-direct.co.uk
,Shipping,Urgency,Product Page,No,https://www.larizia.com
🔥 2 people are looking right now,Product detail,Social Proof,Product Page,No,https://countycomm.com/collections/watch-bands/products/maratac-s-series-zulu-bands
Only 1 left,Product detail,Scarcity,Product Page,No,https://www.rentrip.in/dealer_bikes/D38344788
Free Shipping On Orders Over $49* - Limited Time Only,Banner,Urgency,Product Page,No,"https://www.inlineskates.com/5th-Element-80mm-8-Pack-Inline-Skate-Wheels-with-ABEC-7-Bearings/479142P,default,pd.html"
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Periodic popup. Fake messages.,Social Proof,Product Page,Yes,https://www.soccerlord.se/product/atlanta-united-home-soccer-jersey-2019/
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Periodic popup,Social Proof,Product Page,No,https://www.tentworld.com.au/buy-sale/tas-centurion-boot-camouflage
,Shipping,Urgency,Product Page,No,https://www.blakelyclothing.com
Only 1 left!,Product detail,Scarcity,Product Page,No,https://www.buydig.com/shop/product/NKD5600LENSX2RB/Nikon-D5600-242MP-DSLR-Camera-18-55mm-VR-70-300mm-ED-Lens-Certified-Refurbished-
"Hurry, Only a few left!",Product detail,Scarcity,Product Page,No,https://www.flipkart.com/dell-21-5-inch-full-hd-led-backlit-ips-panel-monitor/p/itmewm8z7rnxvtjp?pid=MONEWM8Z3ZM9GEF3&srno=b_1_17&otracker=hp_omu_Best%2Bof%2BElectronic%2BDevices_3_4XCTE4I74A_8&lid=LSTMONEWM8Z3ZM9GEF3YLTKZX&fm=organic&iid=ef4003ce-7151-4720-b111-039dd96be6d0.MONEWM8Z3ZM9GEF3.SEARCH
Bought by 39 people in last few hours! HOT SELLER!,Product detail,Social Proof,Product Page,No,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-printed-voile-dupatta-18598
ONLY 3 LEFT IN STOCK.,Product detail,Scarcity,Product Page,No,https://baileynelson.com.au/collections/new-arrivals/products/homer-sunglasses
"No thanks, I don't want to build one.. I'd rather kick rocks!",Popup,Misdirection,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
,Adds free product to show and inflate discount,Misdirection,Cart Page,No,https://buymobile.com.au/products/samsung-galaxy-s10-plus-g9750-8gb-ram-512gb-4g-lte?variant=18226676858995
3DAYS124606,Banner,Urgency,Product Page,No,https://www.jjshouse.com/Cheap-Wedding-Dresses-c2/weekly-deal/
OFFER ENDS 00:54:59,Banner. Offer still valid after expiration.,Urgency,Home Page,Yes,https://www.shoedazzle.com/products/FEELIN-A-LITTLE-DRUZY-BRACELET-BE1831873-2720?psrc=shop_accessories_new-arrivals
ONLY 13 LEFT,Decrements at scheduled intervals. Product detail.,Scarcity,Product Page,Yes,https://wickedcushions.com/products/beats-replacement-ear-pads-compatible-with-solo-2-3-wireless-white
Only 3 left,Product detail,Scarcity,Product Page,No,https://www.albeebaby.com/britax-b-ready-b-safe-ultra-travel-system-nanotex.html
Only 1 left in stock.,Product detail,Scarcity,Product Page,No,https://us.shop.runningroom.com/electronics/heart-rate-and-gps-watches/garmin-forerunner-735xt-w-optical-wrist-hr-and-tri-bundle.html?order=new_arrivals
Limited Time Offer!,All products on sale? No deadline.,Urgency,Product Page,No,https://www.coverscart.com/One_plus/OnePlus-3/Dark-Lines-Pattern-Back-Case-for-OnePlus-3
"An item you ordered is in high demand. No worries, we have reserved your order.",Conversion pirate,Scarcity,Checkout Process,No,https://monkstars.com/collections/sale/products/knights-templar-tops-2?variant=13484920832098
Only 2 left.,Product detail,Scarcity,Product Page,No,https://www.eastdane.com/polka-dot-shoulder-bag-moschino/vp/v=1/1547082560.htm?folderID=47953&colorId=1138B
